Material composition,GGA Band gap (eV),Stability (meV/atom),Formation energy (eV/atom)
Cs8Be4I12Ba4Br12,3.437,49.330,-1.329
Cs8Be1Ca1I12Br12,3.441,0.000,-1.997
Cs8Be1I12Br12Cd1,2.547,0.000,-1.532
Cs8Be1I12Br12Cu1,0.001,0.000,-1.578
Cs8Be4Ge4I12Br12,2.154,47.546,-0.886
Cs8Be4Mg4I12Br12,2.168,84.071,-1.084
Cs8Pb1I12Br12Be1,2.879,0.000,-1.816
Cs8Be1I12Sn1Br12,2.540,0.000,-1.801
Cs8Sr1I12Br12Be1,3.664,0.000,-2.000
Cs8Be1Zn1I12Br12,3.102,0.000,-1.571
Cs8Be1I12Ba1Cl12,3.441,0.000,-2.164
Cs8Be1Ca1I12Cl12,3.417,0.000,-2.127
Cs8Be1Cl12I12Cd1,2.363,0.000,-1.644
Cs8Be1I12Cu1Cl12,0.046,0.000,-1.759
Cs8Be1Ge1I12Cl12,2.728,0.000,-1.899
Cs8Be1Mg1I12Cl12,4.008,0.000,-1.890
Cs8Pb4Cl12I12Be4,2.019,117.894,-1.037
Cs8Be4I12Sn4Cl12,0.001,376.923,-0.735
Cs8Sr1Cl12I12Be1,3.300,0.000,-2.125
Cs8Be4Zn4I12Cl12,1.855,155.613,-0.988
Cs4I24K4Ca1Cd1,2.094,0.000,-1.562
Cs4I24K4Ca1Cu1,0.060,0.000,-1.624
Cs4I24K4Ca1Ge1,2.610,0.000,-1.773
Cs4I24K4Ca1Mg1,2.792,0.000,-1.761
Cs4Pb1K4I24Ca1,2.890,0.000,-1.828
Cs4I24K4Ca1Sn1,2.658,0.000,-1.806
Cs4Sr1K4I24Ca1,3.697,0.000,-2.030
Cs4I24K4Ca1Zn1,2.488,0.000,-1.582
Cs4I24Ca1Rb4Cd1,1.761,0.000,-1.561
Cs4I24Ca1Cu1Rb4,0.007,0.000,-1.612
Cs4I24Ge1Ca1Rb4,2.603,0.000,-1.797
Cs4I24Mg1Ca1Rb4,2.778,0.000,-1.785
Cs4Pb1Ca1I24Rb4,2.966,0.000,-1.844
Cs4I24Ca1Sn1Rb4,2.667,0.000,-1.826
Cs4Sr1Ca1I24Rb4,3.722,0.000,-2.049
Cs4I24Zn1Ca1Rb4,1.487,0.000,-1.545
I24K4Ca1Rb4Cd1,1.729,0.000,-1.509
I24K4Ca1Cu1Rb4,0.004,0.000,-1.601
I24K4Ca1Ge1Rb4,2.579,0.000,-1.744
I24K4Ca1Mg1Rb4,2.795,0.000,-1.732
Pb1I24K4Ca1Rb4,2.925,0.000,-1.793
I24K4Ca1Sn1Rb4,2.652,0.000,-1.774
I24Sr1K4Ca1Rb4,3.793,0.000,-2.026
I24K4Ca1Zn1Rb4,2.785,0.000,-1.575
Cs8Ca4Cl12Br12Cd4,2.257,48.683,-1.499
Cs8Ca1Br12Cu1Cl12,0.004,0.000,-2.048
Cs8Ge1Ca1Br12Cl12,3.409,0.000,-2.258
Cs8Mg1Ca1Br12Cl12,4.430,0.000,-2.337
Cs8Pb1Ca1Br12Cl12,3.891,0.000,-2.314
Cs8Ca1Sn1Br12Cl12,3.246,0.000,-2.289
Cs8Sr1Ca1Br12Cl12,4.641,0.000,-2.580
Cs8Zn1Ca1Br12Cl12,3.054,0.000,-2.041
Cs8I12Ca1Br12Cd1,1.928,0.000,-1.748
Cs8I12Ca1Br12Cu1,0.002,0.000,-1.793
Cs8I12Ge1Ca1Br12,2.717,0.000,-1.977
Cs8I12Mg1Ca1Br12,3.010,0.000,-1.993
Cs8Pb1Ca1I12Br12,3.098,0.000,-2.029
Cs8I12Ca1Sn1Br12,2.732,0.000,-2.007
Cs8Sr1Ca1I12Br12,3.771,0.000,-2.254
Cs8I12Zn1Ca1Br12,2.516,0.000,-1.780
Cs8I12Ca1Cl12Cd1,1.932,0.000,-1.840
Cs8I12Ca1Cu1Cl12,0.003,0.000,-1.876
Cs8I12Ge1Ca1Cl12,2.813,0.000,-2.080
Cs8I12Mg1Ca1Cl12,3.061,0.000,-2.105
Cs8Pb1Ca1I12Cl12,3.139,0.000,-2.137
Cs8I12Ca1Sn1Cl12,2.889,0.000,-2.112
Cs8Sr1Ca1I12Cl12,3.875,0.000,-2.377
Cs8I12Zn1Ca1Cl12,2.698,0.000,-1.892
Cs4I24K4Cu1Cd1,0.021,0.000,-1.150
Cs4I24K4Ge1Cd1,2.068,0.000,-1.349
Cs4I24K4Mg1Cd1,1.246,0.000,-1.292
Cs4Pb1K4I24Cd1,1.615,0.000,-1.321
Cs4I24K4Sn1Cd1,1.304,0.000,-1.367
Cs4Sr1K4I24Cd1,1.970,0.000,-1.540
Cs4I24K4Zn1Cd1,2.308,0.000,-1.165
Cs4I24Cu1Rb4Cd1,0.030,0.000,-1.104
Cs4I24Ge1Rb4Cd1,2.120,0.000,-1.366
Cs4I24Mg1Rb4Cd1,0.662,0.000,-1.295
Cs4Pb1I24Rb4Cd1,1.411,0.000,-1.374
Cs4I24Sn1Rb4Cd1,0.920,0.000,-1.363
Cs4Sr1I24Rb4Cd1,1.982,0.000,-1.529
Cs4I24Zn1Rb4Cd1,2.294,0.000,-1.132
I24K4Cu1Rb4Cd1,-0.002,0.000,-1.070
I24K4Ge1Rb4Cd1,1.330,0.000,-1.276
I24K4Mg1Rb4Cd1,1.375,0.000,-1.247
Pb1I24K4Rb4Cd1,1.679,0.000,-1.290
I24K4Sn1Rb4Cd1,1.274,0.000,-1.288
I24Sr1K4Rb4Cd1,2.332,0.000,-1.506
I24K4Zn1Rb4Cd1,2.201,0.000,-1.072
Cs8Cl12Br12Cu4Cd4,0.062,105.134,-0.879
Cs8Ge1Cl12Br12Cd1,1.748,0.000,-1.706
Cs8Mg1Cl12Br12Cd1,2.043,0.000,-1.757
Cs8Pb1Cl12Br12Cd1,2.253,0.000,-1.740
Cs8Cl12Sn1Br12Cd1,1.644,0.000,-1.720
Cs8Sr4Cl12Br12Cd4,3.120,69.723,-1.499
Cs8Zn1Cl12Br12Cd1,3.132,0.000,-1.514
Cs8I12Br12Cu1Cd1,-0.014,0.000,-1.250
Cs8I12Ge1Br12Cd1,1.194,0.000,-1.471
Cs8I12Mg1Br12Cd1,0.871,0.000,-1.462
Cs8Pb1I12Br12Cd1,1.599,0.000,-1.502
Cs8I12Sn4Br12Cd4,0.268,67.217,-0.892
Cs8Sr1I12Br12Cd1,2.308,0.000,-1.733
Cs8I12Zn1Br12Cd1,2.541,0.000,-1.302
Cs8I12Cl12Cu1Cd1,0.010,0.000,-1.311
Cs8I12Ge1Cl12Cd1,2.222,0.000,-1.568
Cs8I12Mg1Cl12Cd1,2.162,0.000,-1.587
Cs8Pb1Cl12I12Cd1,1.674,0.000,-1.577
Cs8I12Cl12Sn1Cd1,1.357,0.000,-1.563
Cs8Sr1Cl12I12Cd1,2.282,0.000,-1.827
Cs8I12Zn1Cl12Cd1,1.905,0.000,-1.352
Cs4I24K4Ge1Cu1,0.018,0.000,-1.442
Cs4I24K4Mg1Cu1,0.004,0.000,-1.375
Cs4Pb1K4I24Cu1,0.020,0.000,-1.464
Cs4I24K4Sn1Cu1,0.153,0.000,-1.468
Cs4Sr1K4I24Cu1,0.003,0.000,-1.667
Cs4I24K4Zn1Cu1,0.001,0.000,-1.222
Cs4I24Ge1Cu1Rb4,0.008,0.000,-1.453
Cs4I24Mg1Cu1Rb4,0.043,0.000,-1.384
Cs4Pb1I24Cu1Rb4,0.186,0.000,-1.464
Cs4I24Cu1Sn1Rb4,0.010,0.000,-1.493
Cs4Sr1I24Cu1Rb4,0.015,0.000,-1.631
Cs4I24Zn1Cu1Rb4,0.009,0.000,-1.255
I24K4Cu1Ge1Rb4,0.036,0.000,-1.416
I24K4Cu1Mg1Rb4,0.062,0.000,-1.333
Pb1I24K4Cu1Rb4,0.030,0.000,-1.438
I24K4Cu1Sn1Rb4,0.050,0.000,-1.454
I24Sr1K4Cu1Rb4,0.008,0.000,-1.654
I24K4Cu1Zn1Rb4,0.094,0.000,-1.227
Cs8Ge1Br12Cu1Cl12,0.129,0.000,-1.816
Cs8Mg1Br12Cu1Cl12,0.047,0.000,-1.831
Cs8Pb1Br12Cu1Cl12,0.061,0.000,-1.836
Cs8Br12Sn1Cu1Cl12,0.198,0.000,-1.866
Cs8Sr1Br12Cu1Cl12,0.053,0.000,-2.059
Cs8Zn1Br12Cu1Cl12,0.035,0.000,-1.520
Cs8I12Ge1Br12Cu1,0.003,0.000,-1.578
Cs8I12Mg1Br12Cu1,0.004,0.000,-1.537
Cs8Pb1I12Br12Cu1,0.153,0.000,-1.608
Cs8I12Br12Sn1Cu1,0.124,0.000,-1.635
Cs8Sr4I12Br12Cu4,0.004,203.312,-1.019
Cs8I12Zn1Br12Cu1,0.006,0.000,-1.308
Cs8I12Ge1Cu1Cl12,0.020,0.000,-1.694
Cs8I12Mg1Cu1Cl12,0.004,0.000,-1.643
Cs8Pb1I12Cu1Cl12,0.037,0.000,-1.663
Cs8I12Sn1Cu1Cl12,0.004,0.000,-1.711
Cs8Sr1I12Cu1Cl12,,,
Cs8I12Zn1Cu1Cl12,0.009,0.000,-1.455
Cs4I24K4Ge1Mg1,2.032,0.000,-1.540
Cs4Pb1K4I24Ge1,1.536,0.000,-1.596
Cs4I24K4Ge1Sn1,1.210,0.000,-1.590
Cs4Sr1K4I24Ge1,2.746,0.000,-1.774
Cs4I24K4Ge1Zn1,2.318,0.000,-1.394
Cs4I24Mg1Ge1Rb4,1.944,0.000,-1.553
Cs4Pb1Ge1I24Rb4,1.576,0.000,-1.621
Cs4I24Ge1Sn1Rb4,1.222,0.000,-1.615
Cs4Sr1Ge1I24Rb4,2.804,0.000,-1.792
Cs4I24Zn1Ge1Rb4,2.321,0.000,-1.409
I24K4Ge1Mg1Rb4,2.069,0.000,-1.516
Pb1I24K4Ge1Rb4,1.688,0.000,-1.591
I24K4Ge1Sn1Rb4,1.234,0.000,-1.564
I24Sr1K4Ge1Rb4,2.796,0.000,-1.774
I24K4Ge1Zn1Rb4,2.357,0.000,-1.377
Cs8Mg1Ge1Br12Cl12,2.802,0.000,-2.004
Cs8Pb1Ge1Br12Cl12,2.018,0.000,-2.008
Cs8Ge1Sn1Br12Cl12,1.670,0.000,-1.999
Cs8Sr1Ge1Br12Cl12,3.441,0.000,-2.243
Cs8Zn1Ge1Br12Cl12,2.942,0.000,-1.794
Cs8I12Mg1Ge1Br12,2.620,0.000,-1.744
Cs8Pb1Ge1I12Br12,1.688,0.000,-1.780
Cs8I12Ge1Sn1Br12,1.353,0.000,-1.774
Cs8Sr1Ge1I12Br12,2.861,0.000,-1.970
Cs8I12Zn4Ge4Br12,2.022,45.602,-0.854
Cs8I12Mg1Ge1Cl12,2.813,0.000,-1.852
Cs8Pb1Ge1I12Cl12,1.852,0.000,-1.860
Cs8I12Ge1Sn1Cl12,,,
Cs8Sr1Ge1I12Cl12,2.932,0.000,-2.062
Cs8I12Zn1Ge1Cl12,2.596,0.000,-1.641
Cs4Pb1K4I24Mg1,2.071,0.000,-1.566
Cs4I24K4Mg1Sn1,1.770,0.000,-1.545
Cs4Sr1K4I24Mg1,3.023,0.000,-1.758
Cs4I24K4Mg1Zn1,2.532,0.000,-1.360
Cs4Pb1Mg1I24Rb4,2.084,0.000,-1.587
Cs4I24Mg1Sn1Rb4,1.781,0.000,-1.569
Cs4Sr1Mg1I24Rb4,3.019,0.000,-1.784
Cs4I24Zn1Mg1Rb4,2.437,0.000,-1.369
Pb1I24K4Mg1Rb4,2.433,0.000,-1.568
Mg1I24K4Sn1Rb4,1.992,0.000,-1.544
I24Sr1K4Mg1Rb4,3.325,0.000,-1.762
Mg1I24K4Zn1Rb4,2.510,0.000,-1.342
Cs8Pb1Mg1Br12Cl12,3.314,0.000,-2.064
Cs8Mg1Sn1Br12Cl12,2.695,0.000,-2.039
Cs8Sr1Mg1Br12Cl12,4.445,0.000,-2.327
Cs8Zn1Mg1Br12Cl12,3.816,0.000,-1.842
Cs8Pb1Mg1I12Br12,2.328,0.000,-1.784
Cs8I12Mg1Sn1Br12,1.976,0.000,-1.755
Cs8Sr1Mg1I12Br12,3.234,0.000,-1.992
Cs8I12Zn4Mg4Br12,2.831,69.793,-1.098
Cs8Pb1Mg1I12Cl12,2.736,0.000,-1.892
Cs8I12Mg1Sn1Cl12,2.671,0.000,-1.879
Cs8Sr4Mg4I12Cl12,2.752,83.529,-1.539
Cs8I12Zn1Mg1Cl12,3.306,0.000,-1.686
Cs4Pb1K4I24Sn1,1.483,0.000,-1.630
Cs4Sr1K4I24Pb1,3.031,0.000,-1.829
Cs4Pb1K4I24Zn1,2.630,0.000,-1.426
Cs4Pb1I24Sn1Rb4,1.462,0.000,-1.649
Cs4Sr1Pb1I24Rb4,3.076,0.000,-1.845
Cs4Pb1Zn1I24Rb4,2.551,0.000,-1.439
Pb1I24K4Sn1Rb4,1.511,0.000,-1.600
Pb1Sr1K4I24Rb4,3.123,0.000,-1.828
Pb1I24K4Zn1Rb4,2.686,0.000,-1.413
Cs8Pb1Sn1Br12Cl12,1.786,0.000,-2.032
Cs8Sr1Pb1Br12Cl12,3.927,0.000,-2.297
Cs8Pb1Zn1Br12Cl12,3.252,0.000,-1.819
Cs8Pb1I12Sn1Br12,1.492,0.000,-1.804
Cs8Sr1Pb1I12Br12,3.175,0.000,-2.024
Cs8Pb1Zn1I12Br12,2.603,0.000,-1.584
Cs8Pb1I12Sn1Cl12,1.902,0.000,-1.893
Cs8Sr1Pb1I12Cl12,,,
Cs8Pb4Zn4I12Cl12,2.442,88.620,-1.025
Cs4Sr1K4I24Sn1,2.774,0.000,-1.829
Cs4I24K4Zn1Sn1,2.249,0.000,-1.417
Cs4Sr1I24Sn1Rb4,2.715,0.000,-1.823
Cs4I24Zn1Sn1Rb4,2.238,0.000,-1.431
I24Sr1K4Sn1Rb4,2.768,0.000,-1.807
I24K4Zn1Rb4Sn1,2.263,0.000,-1.397
Cs8Sr1Sn1Br12Cl12,3.286,0.000,-2.271
Cs8Zn1Sn1Br12Cl12,2.769,0.000,-1.809
Cs8Sr4I12Sn4Br12,1.598,61.047,-1.271
Cs8I12Zn1Sn1Br12,2.251,0.000,-1.575
Cs8Sr1I12Sn1Cl12,2.894,0.000,-2.107
Cs8I12Zn1Sn1Cl12,2.437,0.000,-1.666
Cs4Sr1K4I24Zn1,2.921,0.000,-1.591
Cs4Sr1Zn1I24Rb4,1.740,0.000,-1.544
I24Sr1K4Zn1Rb4,2.540,0.000,-1.550
Cs8Sr1Zn1Br12Cl12,3.307,0.000,-2.033
Cs8Sr1Zn1I12Br12,2.679,0.000,-1.780
Cs8Sr1Zn1I12Cl12,2.974,0.000,-1.886
Cs4I24K4Zn8,2.413,26.613,-0.822
Cs4I24Zn8Rb4,2.423,28.567,-0.832
I24K4Zn8Rb4,2.471,35.335,-0.811
Cs8Zn8Br12Cl12,3.709,0.838,-1.192
Cs8I12Zn8Br12,2.768,3.359,-0.967
Cs8I12Zn8Cl12,3.066,47.508,-1.044
C7H42N7Br24Cs1Cu8,0.026,89.641,-0.022
C7Cl24H42N7Cs1Cu8,0.085,86.309,-0.080
C7I24H42N7Cs1Cu8,0.007,101.369,0.047
C7H42N7Fe8Br24Cs1,3.403,0.000,-0.152
C7Cl24H42N7Fe8Cs1,3.605,0.000,-0.237
C7I24H42N7Fe8Cs1,1.520,35.058,-0.015
C7H42N7Ge8Br24Cs1,1.891,68.097,-0.118
C7Cl24H42N7Ge8Cs1,2.836,48.727,-0.197
C7I24H42N7Ge8Cs1,1.500,80.213,-0.019
C7H42Mn8N7Br24Cs1,2.096,35.910,-0.213
C7Cl24H42Mn8N7Cs1,2.951,26.839,-0.301
C7I24H42Mn8N7Cs1,1.179,39.723,-0.090
C7H42N7Sn8Br24Cs1,1.497,58.790,-0.181
C7Cl24H42N7Sn8Cs1,1.988,57.261,-0.247
C7I24H42N7Sn8Cs1,1.145,60.565,-0.081
C6H36N6Br24Cs2Cu8,0.011,111.072,-0.044
C6Cl24H36N6Cs2Cu8,0.001,84.197,-0.131
C6I24H36N6Cs2Cu8,0.075,100.874,0.008
C6H36N6Fe8Br24Cs2,2.201,0.634,-0.189
C6Cl24H36N6Fe8Cs2,3.310,0.496,-0.288
C6I24H36N6Fe8Cs2,1.121,35.462,-0.057
C6H36N6Ge8Br24Cs2,2.079,62.499,-0.176
C6Cl24H36N6Ge8Cs2,2.819,50.704,-0.254
C6I24H36N6Ge8Cs2,1.529,76.783,-0.065
C6H36Mn8N6Br24Cs2,2.121,27.586,-0.278
C6Cl24H36Mn8N6Cs2,2.932,18.841,-0.373
C6I24H36Mn8N6Cs2,1.242,31.993,-0.143
C6H36N6Sn8Br24Cs2,1.466,55.211,-0.241
C6Cl24H36N6Sn8Cs2,2.021,51.898,-0.315
C6I24H36N6Sn8Cs2,1.167,56.985,-0.132
C4H24N4Br24Cs4Cu8,0.044,107.114,-0.163
C4Cl24H24N4Cs4Cu8,0.029,70.189,-0.273
C4I24H24N4Cs4Cu8,0.004,128.897,-0.066
C4H24N4Fe8Br24Cs4,2.078,0.000,-0.339
C4Cl24H24N4Fe8Cs4,3.135,0.000,-0.458
C4I24H24N4Fe8Cs4,2.331,0.000,-0.206
C4H24N4Ge8Br24Cs4,1.840,57.280,-0.318
C4Cl24H24N4Ge8Cs4,2.288,50.025,-0.411
C4I24H24N4Ge8Cs4,1.485,66.603,-0.187
C4H24Mn8N4Br24Cs4,2.016,7.206,-0.447
C4Cl24H24Mn8N4Cs4,2.874,0.000,-0.565
C4I24H24Mn8N4Cs4,0.968,18.855,-0.276
C4H24N4Sn8Br24Cs4,1.434,45.692,-0.398
C4Cl24H24N4Sn8Cs4,1.924,46.239,-0.486
C4I24H24N4Sn8Cs4,1.121,48.334,-0.266
C7Br24H42N7Rb1Cu8,0.002,89.911,-0.019
C7Cl24H42N7Rb1Cu8,0.001,82.713,-0.082
C7I24H42N7Rb1Cu8,0.070,103.509,0.051
C7Br24H42N7Fe8Rb1,2.974,1.159,-0.143
C7Cl24H42N7Fe8Rb1,2.377,1.860,-0.226
C7I24H42N7Fe8Rb1,1.047,36.822,-0.008
C7Br24H42N7Ge8Rb1,2.134,66.524,-0.117
C7Cl24H42N7Ge8Rb1,2.824,53.632,-0.191
C7I24H42N7Ge8Rb1,1.509,81.283,-0.016
C7Br24H42Mn8N7Rb1,2.138,35.194,-0.211
C7Cl24H42Mn8N7Rb1,2.983,25.546,-0.300
C7I24H42Mn8N7Rb1,1.209,39.889,-0.087
C7Br24H42N7Sn8Rb1,1.491,59.775,-0.178
C7Cl24H42N7Sn8Rb1,1.993,55.073,-0.246
C7I24H42N7Sn8Rb1,1.180,61.374,-0.078
C6Br24H36N6Rb2Cu8,0.002,74.179,-0.076
C6Cl24H36N6Rb2Cu8,0.010,82.410,-0.130
C6I24H36N6Rb2Cu8,0.077,102.716,0.013
C6Br24H36N6Fe8Rb2,2.205,2.867,-0.185
C6Cl24H36N6Fe8Rb2,3.526,0.000,-0.303
C6I24H36N6Fe8Rb2,1.105,28.856,-0.052
C6Br24H36N6Ge8Rb2,2.076,64.297,-0.170
C6Cl24H36N6Ge8Rb2,2.786,53.655,-0.248
C6I24H36N6Ge8Rb2,1.522,78.560,-0.059
C6Br24H36Mn8N6Rb2,2.150,26.673,-0.274
C6Cl24H36Mn8N6Rb2,2.969,15.556,-0.371
C6I24H36Mn8N6Rb2,1.256,31.655,-0.139
C6Br24H36N6Sn8Rb2,1.449,57.870,-0.234
C6Cl24H36N6Sn8Rb2,2.070,54.385,-0.307
C6I24H36N6Sn8Rb2,1.165,59.689,-0.125
C4Br24H24N4Rb4Cu8,0.079,100.411,-0.156
C4Cl24H24N4Rb4Cu8,0.006,108.708,-0.229
C4I24H24N4Rb4Cu8,0.004,131.546,-0.054
C4Br24H24N4Fe8Rb4,2.093,0.000,-0.329
C4Cl24H24N4Fe8Rb4,3.133,0.000,-0.449
C4I24H24N4Fe8Rb4,2.353,0.000,-0.193
C4Br24H24N4Ge8Rb4,1.812,62.557,-0.302
C4Cl24H24N4Ge8Rb4,2.272,57.372,-0.396
C4I24H24N4Ge8Rb4,1.452,72.283,-0.171
C4Br24H24Mn8N4Rb4,1.873,10.330,-0.431
C4Cl24H24Mn8N4Rb4,2.957,0.000,-0.557
C4I24H24Mn8N4Rb4,1.499,9.862,-0.273
C4Br24H24N4Sn8Rb4,1.368,52.438,-0.382
C4Cl24H24N4Sn8Rb4,1.978,48.230,-0.471
C4I24H24N4Sn8Rb4,1.121,54.939,-0.250
C7H35N14Br24Cs1Cu8,0.011,100.707,-0.022
C7Cl24H35N14Cs1Cu8,0.010,96.334,-0.082
C7I24H35N14Cs1Cu8,0.013,118.418,0.061
C7H35N14Fe8Br24Cs1,2.504,15.048,-0.136
C7Cl24H35N14Fe8Cs1,3.538,0.000,-0.253
C7I24H35N14Fe8Cs1,2.049,30.727,-0.024
C7H35N14Ge8Br24Cs1,1.993,73.613,-0.114
C7Cl24H35N14Ge8Cs1,2.639,63.591,-0.185
C7I24H35N14Ge8Cs1,1.637,79.488,-0.020
C7H35Mn8N14Br24Cs1,2.262,36.607,-0.212
C7Cl24H35Mn8N14Cs1,2.991,32.096,-0.296
C7I24H35Mn8N14Cs1,0.652,64.760,-0.065
C7H35N14Sn8Br24Cs1,1.628,65.710,-0.174
C7Cl24H35N14Sn8Cs1,2.015,69.248,-0.235
C7I24H35N14Sn8Cs1,1.231,61.856,-0.079
C6H30N12Br24Cs2Cu8,0.001,97.253,-0.069
C6Cl24H30N12Cs2Cu8,0.005,104.722,-0.122
C6I24H30N12Cs2Cu8,0.030,118.226,0.022
C6H30N12Fe8Br24Cs2,3.041,0.000,-0.210
C6Cl24H30N12Fe8Cs2,3.553,0.000,-0.305
C6I24H30N12Fe8Cs2,2.641,4.264,-0.092
C6H30N12Ge8Br24Cs2,2.127,67.106,-0.173
C6Cl24H30N12Ge8Cs2,2.772,58.930,-0.249
C6I24H30N12Ge8Cs2,1.620,74.286,-0.068
C6H30Mn8N12Br24Cs2,2.174,31.540,-0.274
C6Cl24H30Mn8N12Cs2,2.961,23.069,-0.369
C6I24H30Mn8N12Cs2,1.320,30.387,-0.145
C6H30N12Sn8Br24Cs2,1.663,59.498,-0.237
C6Cl24H30N12Sn8Cs2,2.099,60.672,-0.307
C6I24H30N12Sn8Cs2,1.261,56.475,-0.133
C4H20N8Br24Cs4Cu8,0.005,109.203,-0.169
C4Cl24H20N8Cs4Cu8,0.001,99.904,-0.253
C4I24H20N8Cs4Cu8,0.003,106.656,-0.090
C4H20N8Fe8Br24Cs4,3.239,0.000,-0.373
C4Cl24H20N8Fe8Cs4,3.702,0.000,-0.488
C4I24H20N8Fe8Cs4,1.308,35.429,-0.171
C4H20N8Ge8Br24Cs4,2.095,60.091,-0.317
C4Cl24H20N8Ge8Cs4,2.716,55.272,-0.407
C4I24H20N8Ge8Cs4,1.555,66.222,-0.188
C4H20Mn8N8Br24Cs4,2.139,7.877,-0.446
C4Cl24H20Mn8N8Cs4,2.916,0.317,-0.559
C4I24H20Mn8N8Cs4,1.255,10.120,-0.285
C4H20N8Sn8Br24Cs4,1.433,50.740,-0.393
C4Cl24H20N8Sn8Cs4,1.831,56.343,-0.476
C4I24H20N8Sn8Cs4,1.092,49.524,-0.265
C7Br24H35N14Rb1Cu8,0.011,106.526,-0.015
C7Cl24H35N14Rb1Cu8,0.010,93.793,-0.083
C7I24H35N14Rb1Cu8,0.068,117.037,0.061
C7Br24H35N14Fe8Rb1,3.200,0.000,-0.163
C7Cl24H35N14Fe8Rb1,3.277,0.321,-0.232
C7I24H35N14Fe8Rb1,2.633,7.195,-0.042
C7Br24H35N14Ge8Rb1,2.070,71.214,-0.114
C7Cl24H35N14Ge8Rb1,2.729,62.573,-0.184
C7I24H35N14Ge8Rb1,1.635,80.252,-0.017
C7Br24H35Mn8N14Rb1,2.256,39.559,-0.207
C7Cl24H35Mn8N14Rb1,3.000,31.305,-0.294
C7I24H35Mn8N14Rb1,1.402,34.249,-0.093
C7Br24H35N14Sn8Rb1,1.633,66.913,-0.171
C7Cl24H35N14Sn8Rb1,2.267,63.272,-0.238
C7I24H35N14Sn8Rb1,1.222,63.712,-0.076
C6Br24H30N12Rb2Cu8,0.000,93.008,-0.068
C6Cl24H30N12Rb2Cu8,0.005,91.412,-0.132
C6I24H30N12Rb2Cu8,0.004,121.437,0.029
C6Br24H30N12Fe8Rb2,3.011,0.000,-0.202
C6Cl24H30N12Fe8Rb2,3.527,0.000,-0.301
C6I24H30N12Fe8Rb2,2.566,0.000,-0.086
C6Br24H30N12Ge8Rb2,2.101,69.701,-0.166
C6Cl24H30N12Ge8Rb2,2.728,62.518,-0.242
C6I24H30N12Ge8Rb2,1.605,76.859,-0.061
C6Br24H30Mn8N12Rb2,2.200,31.306,-0.269
C6Cl24H30Mn8N12Rb2,2.961,11.876,-0.375
C6I24H30Mn8N12Rb2,1.287,32.780,-0.138
C6Br24H30N12Sn8Rb2,1.435,66.458,-0.226
C6Cl24H30N12Sn8Rb2,2.254,58.337,-0.303
C6I24H30N12Sn8Rb2,1.315,58.937,-0.126
C4Br24H20N8Rb4Cu8,0.001,94.548,-0.171
C4Cl24H20N8Rb4Cu8,0.365,88.771,-0.258
C4I24H20N8Rb4Cu8,0.001,100.541,-0.087
C4Br24H20N8Fe8Rb4,2.863,0.000,-0.337
C4Cl24H20N8Fe8Rb4,3.571,0.000,-0.464
C4I24H20N8Fe8Rb4,2.539,0.000,-0.209
C4Br24H20N8Ge8Rb4,2.074,65.604,-0.301
C4Cl24H20N8Ge8Rb4,2.693,60.933,-0.394
C4I24H20N8Ge8Rb4,1.526,72.535,-0.171
C4Br24H20Mn8N8Rb4,2.148,9.983,-0.431
C4Cl24H20Mn8N8Rb4,2.949,0.000,-0.548
C4I24H20Mn8N8Rb4,1.229,15.557,-0.268
C4Br24H20N8Sn8Rb4,1.441,56.187,-0.378
C4Cl24H20N8Sn8Rb4,2.279,47.167,-0.472
C4I24H20N8Sn8Rb4,1.123,55.199,-0.250
